[2018/10/23 14:56:17 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FC1C1D--from--30099
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2094, buff: 04D667F5--from--30085
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 156, buff: 04D041BD--from--30089
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 052C8325--from--30077
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05354F2D--from--30103
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04FC1C1D--from--30099
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 04D667F5--from--30085
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 218, buff: 04E0309D--from--30084
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 234, buff: 051D2E35--from--30092
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 188, buff: 04D4EF95--from--30098
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2235, buff: 04CC0F65--from--30161
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2219, buff: 04F17F7D--from--30134
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2235, buff: 0542B325--from--30165
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2265, buff: 055A1065--from--30153
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2296, buff: 04EDAFA5--from--30162
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 04EDAFA5--from--30162
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2234, buff: 04F258BD--from--30178
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2328, buff: 04CDC87D--from--30130
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2234, buff: 04BC8EF5--from--30114
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2234, buff: 05150FFD--from--30122
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 94, buff: 05150FFD--from--30122
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2234, buff: 053BECB5--from--30110
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 219, buff: 05494F2D--from--30102
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 172, buff: 04DFF05D--from--30088
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2375, buff: 050D909D--from--30118
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2390, buff: 04A8AFE5--from--30113
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2390, buff: 05134945--from--30137
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2406, buff: 04B8FFCD--from--30117
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2422, buff: 05151AED--from--30133
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2422, buff: 0532DD15--from--30136
[2018/10/24 10:17:13 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 05151AED--from--30133
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2453, buff: 0531E7F5--from--30124
[2018/10/24 10:17:13 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2484, buff: 03D3901D--from--21672
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2515, buff: 04FEFEC5--from--30128
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2546, buff: 04EC0FAD--from--30201
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2547, buff: 051F1AED--from--30131
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2593, buff: 0509912D--from--30200
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2578, buff: 0505D78D--from--30182
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2609, buff: 0542FFCD--from--30186
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 051F1AED--from--30131
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2656, buff: 0501AEB5--from--30194
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2671, buff: 04EDE6F5--from--30197
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2671, buff: 0522E745--from--30185
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2687, buff: 04B654AD--from--30177
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2687, buff: 04C764AD--from--30181
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2734, buff: 053CEF2D--from--30189
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2750, buff: 051AFC3D--from--30196
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2734, buff: 050C578D--from--30190
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 051AFC3D--from--30196
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 47, buff: 050C578D--from--30190
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2781, buff: 04BD9FD5--from--30180
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 46, buff: 053CEF2D--from--30189
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2812, buff: 052C801D--from--30173
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2813, buff: 054B0F55--from--30199
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2843, buff: 04BB242D--from--30148
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2875, buff: 04CCAE65--from--30144
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2844, buff: 054C801D--from--30202
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2890, buff: 053D6AED--from--30152
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2906, buff: 0496A025--from--30145
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2875, buff: 04E32FDD--from--30154
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2937, buff: 04B8E7E5--from--30149
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2937, buff: 052E60BD--from--30156
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2937, buff: 04C9A325--from--30164
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2969, buff: 05128C15--from--30168
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 32, buff: 04C9A325--from--30164
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 63, buff: 052E60BD--from--30156
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2969, buff: 04FB6DBD--from--30121
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 2984, buff: 04CD789D--from--30159
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 05128C15--from--30168
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3031, buff: 0536BF0D--from--30135
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 63, buff: 052E60BD--from--30156
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3063, buff: 04F0685D--from--30184
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3047, buff: 04B7DFFD--from--30116
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3047, buff: 05510795--from--30109
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3094, buff: 04CB0785--from--30115
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3094, buff: 04DD37D5--from--30123
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3094, buff: 04F4005D--from--30120
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3094, buff: 0513D77D--from--30126
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3109, buff: 052EAA7D--from--30125
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3110, buff: 0505038D--from--30132
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3125, buff: 0534ECB5--from--30111
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3125, buff: 04F3E8FD--from--30119
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 0505038D--from--30132
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 63, buff: 0513D77D--from--30126
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 141, buff: 052EAA7D--from--30125
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3266, buff: 0562C87D--from--30188
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3250, buff: 04EE805D--from--30179
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3281, buff: 0549881D--from--30174
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3281, buff: 04F496A5--from--30175
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3250, buff: 04D687DD--from--30187
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3250, buff: 04F458BD--from--30183
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3265, buff: 050ECF4D--from--30198
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3265, buff: 050A3DCD--from--30192
[2018/10/24 10:17:14 CST] [Exception] [INFO]  处理来自服务端的数据: mid 4, subid 301, cost 3281, buff: 052EA34D--from--30195
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 47, buff: 0549881D--from--30174
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 237, subid 0, cost 79, buff: 050ECF4D--from--30198
[2018/10/24 10:17:14 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 94, buff: 04EE805D--from--30179
[2018/10/24 10:17:15 CST] [Exception] [INFO]  数据库: mid 22, subid 0, cost 31, buff: 05448E75--from--30157
[2018/10/24 10:17:15 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BE7065--from--30082
[2018/10/24 10:17:16 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FE31DD--from--30096
[2018/10/24 10:17:16 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 052C8325--from--30077
[2018/10/24 10:17:16 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 46, buff: 04AB7065--from--30081
[2018/10/24 10:19:38 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BC527D--from--30087
[2018/10/24 10:19:39 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04D4EF95--from--30098
[2018/10/24 10:19:39 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BCA845--from--30091
[2018/10/24 10:19:41 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 62, buff: 05354F2D--from--30103
[2018/10/24 10:19:42 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 053D872D--from--30078
[2018/10/24 10:19:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04BE7065--from--30082
[2018/10/24 10:19:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04FE31DD--from--30096
[2018/10/24 10:19:45 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 052C8325--from--30077
[2018/10/24 10:19:46 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 04AB7065--from--30081
[2018/10/24 10:19:47 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 05494F2D--from--30102
[2018/10/24 10:19:48 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 04C22E95--from--30101
[2018/10/24 10:20:02 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 63, buff: 04B6BE25--from--30083
[2018/10/24 10:20:04 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 051D2E35--from--30092
[2018/10/24 10:20:07 CST] [Exception] [INFO]  数据库: mid 39, subid 0, cost 47, buff: 0550342D--from--30093
